city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness
xochistlahuaca,16.794444,-98.240556,Clear,70.14,93,1015,3.22,3
mayumba,-3.4310453,10.6543709,Rain,74.03,93,1008,8.3,100
cayenne,4.9371143,-52.3258307,Clear,73.42,94,1010,2.3,0
puerto suarez,-18.9631791,-57.7974552,Clear,74.88,46,1006,2.42,0
coria,39.9831574,-6.5366803,Clear,46.56,89,1025,5.73,5
progreso,26.0922991,-97.9572242,Fog,63.18,97,1014,0.0,100
san quintin,30.5613719,-115.938162,Clouds,58.82,75,1016,3.22,73
isangel,-19.5410863,169.2810885,Clouds,81.43,75,1010,9.44,64
bermejo,-22.7327163,-64.3427757,Clouds,69.51,37,1011,2.15,40
ternate,45.7822863,8.6903182,Clouds,42.1,85,1020,3.44,75
hirara,24.926431,125.2411151,Clouds,82.44,78,1013,12.66,40
ruian,27.7809047,120.6512652,Clouds,69.76,85,1011,4.99,100
cam ranh,11.9166696,109.14861,Clouds,85.91,66,1012,8.05,20
saint anthony,45.0283001,-93.2187368,Clear,26.13,83,1009,0.0,0
cidreira,-30.1657063,-50.218331,Clear,68.92,88,1017,13.56,3
taoudenni,22.6762333,-3.9805269,Clouds,63.7,23,1015,14.09,86
bandarbeyla,9.4952646,50.8127815,Clouds,80.08,67,1013,18.32,79
yorkton,51.212045,-102.461243,Clouds,30.02,86,991,10.36,100
hasaki,35.7529706,140.8201321,Clouds,57.6,66,1026,10.6,100
fallon,47.5075937,6.4807726,Clouds,46.9,68,1015,3.29,100
salalah,17.0174945,54.1010923,Clear,80.67,65,1014,9.22,0
mahebourg,-20.4111041,57.7060616,Clouds,79.18,69,1015,9.22,40
humaita,-27.5660564,-53.9719817,Clouds,65.91,76,1013,12.66,95
la baneza,42.2998096,-5.8970081,Clear,36.39,85,1025,7.0,5
port hardy,50.7244402,-127.4976081,Clouds,31.98,100,1013,6.91,40
zamora,41.5056574,-5.7448039,Clear,38.21,91,1025,8.84,0
povenets,62.848721,34.820995,Snow,22.08,96,1038,4.92,100
rzhev,56.2565207,34.328649,Clouds,24.04,96,1035,9.01,100
pacific grove,36.6211149,-121.917794,Clear,49.64,91,1016,5.99,0
sur,33.2721211,35.1964023,Clear,65.64,54,1011,14.88,6
the pas,53.8224172,-101.2405153,Snow,21.25,86,998,13.8,100
guerrero negro,27.9709506,-114.036389,Clear,61.29,68,1016,7.56,1
namibe,-15.195064,12.1458085,Clouds,69.28,84,1009,5.39,100
gangotri,30.9943684,78.9398699,Clouds,44.51,31,1020,5.35,84
